token,nre
"""",O
Crl.A.,CASE_NO
@,CASE_NO
S.L.P(Crl.)No.9288,CASE_NO
of,CASE_NO
2011,CASE_NO
NON-REPORTABLE,O
IN,O
,O
THE,COURT
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
CRIMINAL,O
APPELLATE,O
JURISDICTION,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
NO.,CASE_NO
235,CASE_NO
OF,CASE_NO
2016,CASE_NO
[Arising,CASE_NO
out,CASE_NO
of,CASE_NO
S.L.P.(Crl.)No.9288,CASE_NO
of,CASE_NO
2011],CASE_NO
O,
M/s.,PETITIONER_OR_APPELLANT
Moser,PETITIONER_OR_APPELLANT
Baer,PETITIONER_OR_APPELLANT
Photo,PETITIONER_OR_APPELLANT
Voltaic,PETITIONER_OR_APPELLANT
Ltd.,PETITIONER_OR_APPELLANT
…..Appellant,O
Versus,O
,O
M/s.,RESPONDENT
Photon,RESPONDENT
Energy,RESPONDENT
Systems,RESPONDENT
Ltd.,RESPONDENT
&,RESPONDENT
Ors,RESPONDENT
.,O
…..Respondents,O
JUDGMENT,O
,O
SHIVA,JUDGE
KIRTI,JUDGE
SINGH,JUDGE
",",O
J.,O
1.,O
Leave,O
granted.,O
2.,O
In,O
course,O
of,O
its,O
business,O
of,O
supplying,O
solar,O
cells,O
and,O
"laminates,",O
the,O
appellant-company,O
made,O
supplies,O
to,O
the,O
respondent,O
no.1.,O
Respondent,O
nos.2,O
to,O
6,O
are,O
,O
the,RESPONDENT
Chief,RESPONDENT
Executive,RESPONDENT
Officer;,RESPONDENT
General,RESPONDENT
Manager,RESPONDENT
(Finance),RESPONDENT
;,O
,O
Ex-Chief,RESPONDENT
Executive,RESPONDENT
Officer,RESPONDENT
;,O
,O
Chairman,RESPONDENT
;,O
and,O
t,O
he,RESPONDENT
Managing,RESPONDENT
Director,RESPONDENT
respectively,O
of,O
respondent,O
no.1.,O
According,O
to,O
appellant’s,O
"case,",O
against,O
larger,O
outstanding,O
"dues,",O
the,O
respondent,O
no.1,O
issued,O
a,O
cheque,O
dated,O
31,O
st,O
May,O
2008,O
for,O
"Rs.3,21,53,903/-",O
only.,O
On,O
a,O
request,O
that,O
there,O
was,O
shortage,O
of,O
some,O
funds,O
the,O
cheque,O
was,O
not,O
to,O
be,O
presented,O
immediately.,O
There,O
were,O
some,O
disputes,O
between,O
both,O
the,O
parties,O
which,O
were,O
settled,O
through,O
a,O
mutual,O
meeting,O
and,O
as,O
per,O
minutes,O
of,O
meeting,O
held,O
on,O
22,O
nd,O
1,O
Page,O
1,O
,O
Crl.A.,CASE_NO
@,CASE_NO
S.L.P(Crl.)No.9288,CASE_NO
of,CASE_NO
2011,CASE_NO
and,O
23rd,O
September,O
"2008,",O
the,O
net,O
payable,O
amount,O
by,O
respondent,O
no.1,O
was,O
reduced,O
and,O
settled,O
at,O
"Rs.2,87,09,640/-.",O
3.,O
The,O
cheque,O
was,O
presented,O
with,O
the,O
bankers,O
–,O
M/s.,O
HDFC,O
but,O
it,O
was,O
returned,O
on,O
28.11.2008,O
with,O
the,O
remark,O
–,O
“funds,O
insufficient”.,O
On,O
receipt,O
of,O
Memo,O
of,O
Dishonour,O
at,O
its,O
Delhi,O
"office,",O
appellant,O
sent,O
a,O
legal,O
notice,O
dated,O
18.12.2008,O
demanding,O
only,O
the,O
settled,O
outstanding,O
amount,O
of,O
"Rs.2,87,09,640/-",O
and,O
not,O
the,O
cheque,O
amount,O
which,O
was,O
"Rs.3,21,53,903/-.",O
On,O
"19.12.2008,",O
respondent,O
no.1,O
paid,O
an,O
amount,O
of,O
Rs.20,O
lacs,O
towards,O
its,O
debt,O
liability,O
and,O
in,O
reply,O
to,O
the,O
notice,O
it,O
denied,O
the,O
balance,O
liability.,O
It,O
also,O
adopted,O
a,O
further,O
defence,O
that,O
the,O
cheque,O
was,O
given,O
for,O
a,O
larger,O
amount,O
by,O
way,O
of,O
security,O
and,O
was,O
not,O
for,O
any,O
payable,O
debt.,O
The,O
criminal,O
complaint,O
filed,O
by,O
the,O
appellant,O
under,O
,O
Sections,LAW
138/141/142,LAW
of,LAW
the,LAW
Negotiable,LAW
Instruments,LAW
"Act,",LAW
1881,LAW
in,O
the,O
,O
Court,COURT
of,COURT
XI,COURT
Additional,COURT
Chief,COURT
Metropolitan,COURT
"Magistrate,",COURT
City,COURT
Criminal,COURT
Courts,COURT
at,COURT
Secunderabad,COURT
registered,O
as,O
,O
C.C.,CASE_NO
No.829,CASE_NO
of,CASE_NO
2009,CASE_NO
was,O
entertained,O
and,O
non-bailable,O
warrant,O
was,O
ultimately,O
issued,O
against,O
the,O
accused,O
persons,O
on,O
04.03.2009.,O
The,O
respondents,O
could,O
not,O
succeed,O
against,O
the,O
order,O
issuing,O
non-bailable,O
warrant,O
but,O
their,O
subsequent,O
petition,O
under,O
,O
Section,LAW
482,LAW
of,LAW
the,LAW
Code,LAW
of,LAW
Criminal,LAW
Procedure,LAW
was,O
entertained,O
and,O
finally,O
allowed,O
by,O
the,O
impugned,O
order,O
under,O
appeal,O
dated,O
12.10.2011.,O
As,O
a,O
"result,",O
the,O
criminal,O
complaint,O
of,O
the,O
appellant,O
has,O
been,O
dismissed,O
mainly,O
on,O
the,O
ground,O
that,O
the,O
cheque,O
amount,O
was,O
2,O
Page,O
2,O
,O
Crl.A.,CASE_NO
@,CASE_NO
S.L.P(Crl.)No.9288,CASE_NO
of,CASE_NO
2011,CASE_NO
different,O
from,O
the,O
legally,O
enforceable,O
debt,O
as,O
per,O
notice,O
given,O
by,O
the,O
appellant,O
to,O
the,O
accused,O
persons.,O
4.,O
An,O
interesting,O
question,O
of,O
law,O
as,O
to,O
whether,O
in,O
view,O
of,O
payments,O
or,O
settlements,O
made,O
after,O
the,O
issuance,O
of,O
a,O
"cheque,",O
a,O
complainant,O
can,O
disclose,O
the,O
true,O
state,O
of,O
affairs,O
and,O
issue,O
a,O
demand,O
for,O
a,O
lesser,O
amount,O
and,O
whether,O
in,O
such,O
circumstances,O
the,O
criminal,O
prosecution,O
for,O
dishonour,O
of,O
a,O
cheque,O
for,O
higher,O
amount,O
is,O
legally,O
sustainable,O
or,O
"not,",O
did,O
arise,O
in,O
this,O
case.,O
"However,",O
on,O
account,O
of,O
subsequent,O
talks,O
between,O
the,O
"parties,",O
an,O
amicable,O
settlement,O
has,O
been,O
arrived,O
at,O
and,O
hence,O
there,O
is,O
no,O
requirement,O
now,O
to,O
answer,O
the,O
aforesaid,O
question,O
of,O
law,O
in,O
the,O
present,O
proceedings,O
and,O
hence,O
the,O
same,O
is,O
left,O
open,O
for,O
adjudication,O
in,O
any,O
other,O
appropriate,O
case.,O
5.,O
In,O
the,O
instant,O
proceeding,O
the,O
parties,O
have,O
agreed,O
that,O
between,O
the,O
parties,O
the,O
total,O
outstanding,O
amount,O
shall,O
be,O
treated,O
as,O
"Rs.1,80,00,000/-",O
(Rupees,O
one,O
crore,O
eighty,O
lac,O
only),O
and,O
the,O
same,O
shall,O
be,O
