token,nre
"""IN",O
,O
THE,COURT
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
CRIMINAL,O
APPELLATE,O
JURISDICTION,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
NO.,CASE_NO
283,CASE_NO
OF,CASE_NO
2013,CASE_NO
(@,CASE_NO
SPECIAL,CASE_NO
LEAVE,CASE_NO
PETITION(CRIMINAL)NO.4625,CASE_NO
OF,CASE_NO
2009),CASE_NO
O,
RAJ,PETITIONER_OR_APPELLANT
KUMAR,PETITIONER_OR_APPELLANT
LUTHRA,PETITIONER_OR_APPELLANT
&,PETITIONER_OR_APPELLANT
ANR.,PETITIONER_OR_APPELLANT
...,O
APPELLANTS,O
VERSUS,O
,O
STATE,RESPONDENT
OF,RESPONDENT
PUNJAB,RESPONDENT
&,RESPONDENT
ANR,RESPONDENT
.,O
...,O
RESPONDENTS,O
O,O
R,O
D,O
E,O
R,O
1.,O
Leave,O
granted.,O
2.,O
This,O
appeal,O
is,O
directed,O
against,O
an,O
interim,O
order,O
passed,O
by,O
,O
the,COURT
High,COURT
Court,COURT
of,COURT
Punjab,COURT
and,COURT
Haryana,COURT
at,O
Chandigarh,O
in,O
,O
Criminal,CASE_NO
Misc.No.10716-M,CASE_NO
of,CASE_NO
2009,CASE_NO
(O,CASE_NO
&,CASE_NO
M),CASE_NO
",",O
dated,O
23rd,O
"April,",O
"2009,",O
whereby,O
,O
the,COURT
High,COURT
Court,COURT
has,O
issued,O
notice,O
and,O
the,O
appellants,O
were,O
directed,O
to,O
appear,O
before,O
Chief,O
Judicial,O
"Magistrate,",O
Gurdaspur,O
and,O
deposit,O
an,O
amount,O
of,O
Rs.15,O
lakhs.,O
3.,O
This,O
"Court,",O
vide,O
order,O
dated,O
24th,O
"July,",O
"2009,",O
while,O
issuing,O
"notice,",O
has,O
passed,O
the,O
following,O
order,O
:,O
“....,O
In,O
the,O
"meanwhile,",O
subject,O
to,O
the,O
petitioners',O
depositing,O
the,O
amount,O
of,O
Rs.15,O
lakhs,O
within,O
four,O
weeks',O
from,O
"today,",O
the,O
operation,O
of,O
the,O
imopugned,O
order,O
shall,O
remain,O
stayed.,O
"However,",O
the,O
amount,O
so,O
deposited,O
shall,O
not,O
be,O
disbursed,O
without,O
the,O
leave,O
of,O
this,O
Court.,O
The,O
petitioners,O
shall,O
not,O
be,O
arrested,O
till,O
the,O
next,O
date.”,O
4.,O
In,O
the,O
facts,O
and,O
circumstances,O
of,O
the,O
case,O
and,O
having,O
heard,O
the,O
learned,O
counsel,O
for,O
the,O
parties,O
to,O
the,O
"lis,",O
we,O
are,O
of,O
the,O
considered,O
opinion,O
that,O
the,O
order,O
dated,O
24th,O
"July,",O
2009,O
passed,O
by,O
Page,O
1,O
:,O
2,O
:,O
this,O
Court,O
be,O
made,O
absolute,O
and,O
is,O
made,O
absolute.,O
The,O
appeal,O
is,O
disposed,O
of,O
accordingly.,O
Liberty,O
is,O
also,O
reserved,O
to,O
the,O
appellants,O
to,O
request,O
for,O
disposal,O
of,O
the,O
application,O
filed,O
by,O
him,O
under,O
,O
Section,LAW
482,LAW
of,LAW
the,LAW
Code,LAW
of,LAW
Criminal,LAW
"Procedure,",LAW
1973,LAW
",",O
pending,O
before,O
,O
the,COURT
High,COURT
Court,COURT
.,O
Ordered,O
accordingly.,O
...................J.,O
(,O
H.L.,JUDGE
DATTU,JUDGE
),O
...................J.,O
(,O
RANJAN,JUDGE
GOGOI,JUDGE
),O
,O
NEW,LOC_OF_JUDGMENT
DELHI,LOC_OF_JUDGMENT
;,O
,O
FEBRUARY,DATE_OF_JUDGMENT
"08,",DATE_OF_JUDGMENT
2013,DATE_OF_JUDGMENT
Page,O
"2""",O
